5,H-001,herbivoro,"(0, 2, 0)",4,,4
5,H-002,herbivoro,"(-1, 1, 0)",4,,4
5,H-001-R4,herbivoro,"(1, 1, 0)",0,,4
5,H-002-R4,herbivoro,"(0, 2, 0)",0,,4
6,H-001,herbivoro,"(0, 2, 0)",5,,5
6,H-002,herbivoro,"(0, 0, 0)",5,,5
6,H-001-R5,herbivoro,"(1, 1, 0)",0,,5
6,H-002-R5,herbivoro,"(0, 0, 0)",0,,5
7,H-001,herbivoro,"(0, 2, 0)",6,,6
7,H-002,herbivoro,"(-1, 1, 0)",6,,6
7,H-001-R6,herbivoro,"(1, 3, 0)",0,,5
7,H-002-R6,herbivoro,"(0, 0, 0)",0,,5
8,H-001,herbivoro,"(-1, 2, 0)",7,,7
8,H-002,herbivoro,"(0, 2, 0)",7,,7
8,H-001-R7,herbivoro,"(0, 1, 0)",0,,5
8,H-002-R7,herbivoro,"(1, 3, 0)",0,,5
9,H-001,herbivoro,"(-2, 2, 0)",8,,8
9,H-002,herbivoro,"(0, 2, 0)",8,,8
9,H-001-R8,herbivoro,"(0, 3, 0)",0,,5
9,H-002-R8,herbivoro,"(1, 2, 0)",0,,5
10,H-001,herbivoro,"(-1, 1, 0)",9,,9
10,H-002,herbivoro,"(-1, 2, 0)",9,,9
10,H-001-R9,herbivoro,"(0, 0, 0)",0,,5
10,H-002-R9,herbivoro,"(0, 2, 0)",0,,5
11,H-001,herbivoro,"(-1, 1, 0)",10,,10
11,H-002,herbivoro,"(0, -1, 0)",10,,10
11,H-001-R10,herbivoro,"(0, 1, 0)",0,,5
11,H-002-R10,herbivoro,"(0, 0, 0)",0,,5
2,H-001,herbivoro,"(0, 0, 0)",1,,1
2,H-002,herbivoro,"(0, 0, 0)",1,,1
3,H-001,herbivoro,"(0, 0, 0)",2,,2
3,H-002,herbivoro,"(-1, 1, 0)",2,,2
3,H-001-R2,herbivoro,"(1, 0, 0)",0,,2
3,H-002-R2,herbivoro,"(0, 2, 0)",0,,2
4,H-001,herbivoro,"(-1, 1, 0)",3,,3
4,H-002,herbivoro,"(0, 2, 0)",3,,3
4,H-001-R3,herbivoro,"(0, 2, 0)",0,,3
4,H-002-R3,herbivoro,"(0, 3, 0)",0,,3
5,H-001,herbivoro,"(-1, 1, 0)",4,,4
5,H-002,herbivoro,"(0, -1, 0)",4,,4
5,H-001-R4,herbivoro,"(0, 1, 0)",0,,4
